_geojson,flow,cost,type,fid,v/c
"{""type"":""Feature"",""properties"":{""flow"":49531.56910212118,""cost"":0,""type"":""pedestrian_path"",""fid"":0,""v/c"":16.510523034040393},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20695031241567,-33.86875591811869,0],[151.2069488,-33.8688112,0],[151.2069388,-33.8689805,0],[151.2069383,-33.8694896,0],[151.2069389,-33.8696577,0],[151.2069382,-33.8697122,0],[151.2069378,-33.86977120000001,0],[151.2069413,-33.8701373,0],[151.2069382,-33.870260499999986,0],[151.2069579,-33.87031669999999,0],[151.2069791,-33.8703771,0],[151.2069862,-33.87072569999999,0],[151.20698410588136,-33.870758440625785,0]]}}",49531.56910212118,0,pedestrian_path,0,16.510523034040393
"{""type"":""Feature"",""properties"":{""flow"":6280.2610528572695,""cost"":0,""type"":""pedestrian_path"",""fid"":1,""v/c"":2.093420350952423},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20695808758043,-33.86868408188087,0],[151.2069643,-33.8686204,0],[151.2070299,-33.8679778,0],[151.2070876,-33.8674474,0]]}}",6280.2610528572695,0,pedestrian_path,1,2.093420350952423
"{""type"":""Feature"",""properties"":{""flow"":16754.462682213565,""cost"":0,""type"":""pedestrian_path"",""fid"":2,""v/c"":5.584820894071188},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2070876,-33.8674474,0],[151.2071015,-33.8673123,0],[151.2071229,-33.8671086,0],[151.2072524,-33.865918,0],[151.207286,-33.8656092,0],[151.20729299267515,-33.865540570411696,0]]}}",16754.462682213565,0,pedestrian_path,2,5.584820894071188
"{""type"":""Feature"",""properties"":{""flow"":250.64572931397265,""cost"":0,""type"":""pedestrian_path"",""fid"":3,""v/c"":0.08354857643799088},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2070876,-33.8674474,0],[151.2071036,-33.8674486,0],[151.2071557,-33.8674527,0],[151.2071785,-33.8674545,0],[151.2075906,-33.8674926,0],[151.20844224405485,-33.86757302466595,0],[151.20844224405485,-33.86757302466595,0]]}}",250.64572931397265,0,pedestrian_path,3,0.08354857643799088
"{""type"":""Feature"",""properties"":{""flow"":35285.49841121696,""cost"":0,""type"":""pedestrian_path"",""fid"":4,""v/c"":11.761832803738987},""geometry"":{""type"":""LineString"",""coordinates"":[[151.208217380962,-33.87074312747878,0],[151.20822660000002,-33.870721299999985,0],[151.2082609,-33.8703015,0],[151.2082995,-33.869438,0],[151.2083044,-33.8693457,0],[151.2083108,-33.8691924,0],[151.2083200774641,-33.86893250077106,0]]}}",35285.49841121696,0,pedestrian_path,4,11.761832803738987
"{""type"":""Feature"",""properties"":{""flow"":555.0728158595339,""cost"":0,""type"":""pedestrian_path"",""fid"":5,""v/c"":0.18502427195317797},""geometry"":{""type"":""LineString"",""coordinates"":[[151.21126609050455,-33.86783014273333,0],[151.21220049961877,-33.86791166311656,0]]}}",555.0728158595339,0,pedestrian_path,5,0.18502427195317797
"{""type"":""Feature"",""properties"":{""flow"":4844.56470404969,""cost"":0,""type"":""pedestrian_path"",""fid"":6,""v/c"":1.6148549013498965},""geometry"":{""type"":""LineString"",""coordinates"":[[151.21061107963183,-33.86776935999441,0],[151.21061215789805,-33.867769461951376,0],[151.21118011766717,-33.867822057849494,0]]}}",4844.56470404969,0,pedestrian_path,6,1.6148549013498965
"{""type"":""Feature"",""properties"":{""flow"":1908.7023754635354,""cost"":0,""type"":""pedestrian_path"",""fid"":7,""v/c"":0.6362341251545118},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20990665205028,-33.86770729746342,0],[151.2099067910448,-33.86770730978082,0],[151.21052516374712,-33.86776124398244,0]]}}",1908.7023754635354,0,pedestrian_path,7,0.6362341251545118
"{""type"":""Feature"",""properties"":{""flow"":645.7393116348153,""cost"":0,""type"":""pedestrian_path"",""fid"":8,""v/c"":0.2152464372116051},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20852815594998,-33.867581175319174,0],[151.2093003,-33.8676547,0],[151.2096697,-33.8676892,0],[151.209820650513,-33.86769967920479,0]]}}",645.7393116348153,0,pedestrian_path,8,0.2152464372116051
"{""type"":""Feature"",""properties"":{""flow"":36106.6832935346,""cost"":0,""type"":""pedestrian_path"",""fid"":9,""v/c"":12.035561097844868},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2121159,-33.8613353,0],[151.21211591952277,-33.861335302663875,0],[151.2123018,-33.8613063,0],[151.2124277,-33.8612691,0],[151.2124989,-33.8612169,0],[151.212496,-33.8611456,0],[151.2125248,-33.8611109,0],[151.21255,-33.8610785,0],[151.2126121,-33.8609941,0],[151.2126854,-33.8608755,0],[151.2126853,-33.8607567,0],[151.2127108,-33.8605255,0],[151.2127597,-33.8601176,0],[151.2127971,-33.85977109999999,0],[151.2128012,-33.8596704,0],[151.2128779,-33.8594406,0],[151.2128876,-33.8592254,0],[151.2129183,-33.8591064,0],[151.21297820000004,-33.8589609,0],[151.2130266,-33.858898500000016,0],[151.2130359,-33.8588865,0],[151.2131405,-33.858807,0],[151.2131997,-33.8587923,0],[151.2133299,-33.8587719,0],[151.2134528,-33.8587597,0],[151.2135155,-33.8587535,0],[151.2136465,-33.8587103,0],[151.2138449,-33.85855269999998,0],[151.2139634,-33.8584349,0],[151.2140188,-33.8583575,0],[151.2140876,-33.8582472,0],[151.2141901,-33.8579005,0]]}}",36106.6832935346,0,pedestrian_path,9,12.035561097844868
